Logger, Digitalvertigo:         	Automatically truncated logfile to 1048576
Session, Digitalvertigo:        	Garbage collected 4 incoming messages in DC 2, 0 left
Session, Digitalvertigo:        	Garbage collected 2 outgoing messages in DC 2, 0 left
Session, Digitalvertigo:        	Garbage collected 1 outgoing messages in DC 2, 2 left
Session, Digitalvertigo:        	Garbage collected 4 incoming messages in DC 2, 0 left
Session, Digitalvertigo:        	Garbage collected 2 outgoing messages in DC 2, 0 left
UpdateHandler, Digitalvertigo:  	Parsing updates (updateShort) received via the socket...
FeedLoop, Digitalvertigo:       	Resumed update feed loop generic
Session, Digitalvertigo:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, Digitalvertigo:        	Garbage collected 23 incoming messages in DC 2, 0 left
Session, Digitalvertigo:        	Garbage collected 24 outgoing messages in DC 2, 0 left
UpdateHandler, Digitalvertigo:  	Parsing updates (updateShort) received via the socket...
FeedLoop, Digitalvertigo:       	Resumed update feed loop generic
Session, Digitalvertigo:        	Garbage collected 35 incoming messages in DC 2, 0 left
Session, Digitalvertigo:        	Garbage collected 32 outgoing messages in DC 2, 0 left
UpdateHandler, Digitalvertigo:  	Parsing updates (updateShort) received via the socket...
FeedLoop, Digitalvertigo:       	Resumed update feed loop generic
Session, Digitalvertigo:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, Digitalvertigo:        	Garbage collected 2 outgoing messages in DC 2, 14 left
Session, Digitalvertigo:        	Garbage collected 16 incoming messages in DC 2, 0 left
Session, Digitalvertigo:        	Garbage collected 14 outgoing messages in DC 2, 0 left
Session, Digitalvertigo:        	Garbage collected 1 outgoing messages in DC 2, 16 left
UpdateHandler, Digitalvertigo:  	Parsing updates (updateShort) received via the socket...
FeedLoop, Digitalvertigo:       	Resumed update feed loop generic
Session, Digitalvertigo:        	Garbage collected 21 incoming messages in DC 2, 0 left
Session, Digitalvertigo:        	Garbage collected 19 outgoing messages in DC 2, 0 left
UpdateHandler, Digitalvertigo:  	Parsing updates (updateShort) received via the socket...
FeedLoop, Digitalvertigo:       	Resumed update feed loop generic
Session, Digitalvertigo:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, Digitalvertigo:        	Garbage collected 4 incoming messages in DC 2, 0 left
Session, Digitalvertigo:        	Garbage collected 3 outgoing messages in DC 2, 0 left
Session, Digitalvertigo:        	Garbage collected 25 incoming messages in DC 2, 0 left
Session, Digitalvertigo:        	Garbage collected 26 outgoing messages in DC 2, 0 left
Session, Digitalvertigo:        	Garbage collected 18 incoming messages in DC 2, 0 left
Session, Digitalvertigo:        	Garbage collected 23 outgoing messages in DC 2, 14 left
Session, Digitalvertigo:        	Garbage collected 16 incoming messages in DC 2, 0 left
Session, Digitalvertigo:        	Garbage collected 14 outgoing messages in DC 2, 0 left
UpdateHandler, Digitalvertigo:  	Parsing updates (updates) received via the socket...
SeqLoop, Digitalvertigo:        	Was fed updates of type updates...
FeedLoop, Digitalvertigo:       	Resumed update feed loop channel 1781172287
Session, Digitalvertigo:        	Garbage collected 17 incoming messages in DC 2, 0 left
Session, Digitalvertigo:        	Garbage collected 16 outgoing messages in DC 2, 0 left
SessionPaths, Digitalvertigo:   	Waiting for exclusive lock of /Volumes/work/__projects/ba_apart/index.madeline.safe.php.lock...
SessionPaths, Digitalvertigo:   	Got exclusive lock of /Volumes/work/__projects/ba_apart/index.madeline.safe.php.lock...
SessionPaths, Digitalvertigo:   	Waiting for exclusive lock of /Volumes/work/__projects/ba_apart/index.madeline.lightState.php.lock...
SessionPaths, Digitalvertigo:   	Got exclusive lock of /Volumes/work/__projects/ba_apart/index.madeline.lightState.php.lock...
APIWrapper, Digitalvertigo:     	Saved session!
Session, Digitalvertigo:        	Garbage collected 22 incoming messages in DC 2, 0 left
Session, Digitalvertigo:        	Garbage collected 22 outgoing messages in DC 2, 0 left
Session, Digitalvertigo:        	Garbage collected 1 outgoing messages in DC 2, 2 left
Session, Digitalvertigo:        	Garbage collected 4 incoming messages in DC 2, 0 left
Session, Digitalvertigo:        	Garbage collected 2 outgoing messages in DC 2, 0 left
Session, Digitalvertigo:        	Garbage collected 2 outgoing messages in DC 2, 21 left
Session, Digitalvertigo:        	Garbage collected 25 incoming messages in DC 2, 0 left
Session, Digitalvertigo:        	Garbage collected 25 outgoing messages in DC 2, 16 left
Session, Digitalvertigo:        	Garbage collected 36 incoming messages in DC 2, 0 left
Session, Digitalvertigo:        	Garbage collected 34 outgoing messages in DC 2, 0 left
Session, Digitalvertigo:        	Garbage collected 1 outgoing messages in DC 2, 14 left
UpdateHandler, Digitalvertigo:  	Parsing updates (updateShort) received via the socket...
FeedLoop, Digitalvertigo:       	Resumed update feed loop generic
Session, Digitalvertigo:        	Garbage collected 17 incoming messages in DC 2, 0 left
Session, Digitalvertigo:        	Garbage collected 14 outgoing messages in DC 2, 0 left
UpdateHandler, Digitalvertigo:  	Parsing updates (updateShort) received via the socket...
FeedLoop, Digitalvertigo:       	Resumed update feed loop generic
Session, Digitalvertigo:        	Garbage collected 1 incoming messages in DC 2, 0 left
UpdateHandler, Digitalvertigo:  	Parsing updates (updateShort) received via the socket...
FeedLoop, Digitalvertigo:       	Resumed update feed loop generic
UpdateHandler, Digitalvertigo:  	Parsing updates (updateShort) received via the socket...
FeedLoop, Digitalvertigo:       	Resumed update feed loop generic
Session, Digitalvertigo:        	Garbage collected 2 incoming messages in DC 2, 0 left
Session, Digitalvertigo:        	Garbage collected 2 outgoing messages in DC 2, 18 left
Session, Digitalvertigo:        	Garbage collected 20 incoming messages in DC 2, 0 left
Session, Digitalvertigo:        	Garbage collected 18 outgoing messages in DC 2, 0 left
UpdateHandler, Digitalvertigo:  	Parsing updates (updateShort) received via the socket...
FeedLoop, Digitalvertigo:       	Resumed update feed loop generic
UpdateHandler, Digitalvertigo:  	Parsing updates (updateShort) received via the socket...
