Logger, Digitalvertigo:         	Automatically truncated logfile to 1048576
Session, Digitalvertigo:        	Can't garbage collect updates.getChannelDifference with message ID 7191998289921703936 in DC 2 sent 9 seconds ago, no response has been received or it wasn't yet handled!
Session, Digitalvertigo:        	Can't garbage collect updates.getChannelDifference with message ID 7191998289921703940 in DC 2 sent 9 seconds ago, no response has been received or it wasn't yet handled!
Session, Digitalvertigo:        	Can't garbage collect updates.getChannelDifference with message ID 7191998289921703944 in DC 2 sent 9 seconds ago, no response has been received or it wasn't yet handled!
Session, Digitalvertigo:        	Can't garbage collect updates.getChannelDifference with message ID 7191998289921703948 in DC 2 sent 9 seconds ago, no response has been received or it wasn't yet handled!
Session, Digitalvertigo:        	Can't garbage collect updates.getChannelDifference with message ID 7191998289921703952 in DC 2 sent 9 seconds ago, no response has been received or it wasn't yet handled!
Session, Digitalvertigo:        	Can't garbage collect updates.getChannelDifference with message ID 7191998289921703964 in DC 2 sent 9 seconds ago, no response has been received or it wasn't yet handled!
Session, Digitalvertigo:        	Can't garbage collect updates.getChannelDifference with message ID 7191998289921703968 in DC 2 sent 9 seconds ago, no response has been received or it wasn't yet handled!
Session, Digitalvertigo:        	Can't garbage collect updates.getChannelDifference with message ID 7191998289921703972 in DC 2 sent 9 seconds ago, no response has been received or it wasn't yet handled!
Session, Digitalvertigo:        	Can't garbage collect updates.getChannelDifference with message ID 7191998289921703976 in DC 2 sent 9 seconds ago, no response has been received or it wasn't yet handled!
Session, Digitalvertigo:        	Can't garbage collect updates.getChannelDifference with message ID 7191998289921703980 in DC 2 sent 9 seconds ago, no response has been received or it wasn't yet handled!
Session, Digitalvertigo:        	Can't garbage collect updates.getChannelDifference with message ID 7191998289921703984 in DC 2 sent 9 seconds ago, no response has been received or it wasn't yet handled!
Session, Digitalvertigo:        	Can't garbage collect updates.getChannelDifference with message ID 7191998289921703992 in DC 2 sent 9 seconds ago, no response has been received or it wasn't yet handled!
Session, Digitalvertigo:        	Can't garbage collect updates.getChannelDifference with message ID 7191998289921703996 in DC 2 sent 9 seconds ago, no response has been received or it wasn't yet handled!
Session, Digitalvertigo:        	Can't garbage collect updates.getChannelDifference with message ID 7191998289921704000 in DC 2 sent 9 seconds ago, no response has been received or it wasn't yet handled!
Session, Digitalvertigo:        	Can't garbage collect updates.getChannelDifference with message ID 7191998311396540416 in DC 2 sent 4 seconds ago, no response has been received or it wasn't yet handled!
Session, Digitalvertigo:        	Can't garbage collect updates.getChannelDifference with message ID 7191998311396540420 in DC 2 sent 4 seconds ago, no response has been received or it wasn't yet handled!
Session, Digitalvertigo:        	Can't garbage collect updates.getChannelDifference with message ID 7191998311396540424 in DC 2 sent 4 seconds ago, no response has been received or it wasn't yet handled!
Session, Digitalvertigo:        	Can't garbage collect updates.getChannelDifference with message ID 7191998311396540428 in DC 2 sent 4 seconds ago, no response has been received or it wasn't yet handled!
Session, Digitalvertigo:        	Can't garbage collect updates.getChannelDifference with message ID 7191998311396540432 in DC 2 sent 4 seconds ago, no response has been received or it wasn't yet handled!
Session, Digitalvertigo:        	Can't garbage collect updates.getChannelDifference with message ID 7191998311396540436 in DC 2 sent 4 seconds ago, no response has been received or it wasn't yet handled!
Session, Digitalvertigo:        	Can't garbage collect updates.getChannelDifference with message ID 7191998311396540440 in DC 2 sent 4 seconds ago, no response has been received or it wasn't yet handled!
Session, Digitalvertigo:        	Can't garbage collect updates.getChannelDifference with message ID 7191998311396540444 in DC 2 sent 4 seconds ago, no response has been received or it wasn't yet handled!
Session, Digitalvertigo:        	Can't garbage collect updates.getChannelDifference with message ID 7191998311396540448 in DC 2 sent 4 seconds ago, no response has been received or it wasn't yet handled!
Session, Digitalvertigo:        	Can't garbage collect updates.getChannelDifference with message ID 7191998311396540452 in DC 2 sent 4 seconds ago, no response has been received or it wasn't yet handled!
Session, Digitalvertigo:        	Can't garbage collect updates.getChannelDifference with message ID 7191998311396540456 in DC 2 sent 4 seconds ago, no response has been received or it wasn't yet handled!
Session, Digitalvertigo:        	Can't garbage collect updates.getChannelDifference with message ID 7191998311396540460 in DC 2 sent 4 seconds ago, no response has been received or it wasn't yet handled!
Session, Digitalvertigo:        	Can't garbage collect updates.getChannelDifference with message ID 7191998311396540464 in DC 2 sent 4 seconds ago, no response has been received or it wasn't yet handled!
Session, Digitalvertigo:        	Can't garbage collect updates.getChannelDifference with message ID 7191998311396540468 in DC 2 sent 4 seconds ago, no response has been received or it wasn't yet handled!
Session, Digitalvertigo:        	Can't garbage collect updates.getChannelDifference with message ID 7191998311396540472 in DC 2 sent 4 seconds ago, no response has been received or it wasn't yet handled!
Session, Digitalvertigo:        	Can't garbage collect updates.getChannelDifference with message ID 7191998311396540476 in DC 2 sent 4 seconds ago, no response has been received or it wasn't yet handled!
Session, Digitalvertigo:        	Can't garbage collect updates.getChannelDifference with message ID 7191998311396540484 in DC 2 sent 4 seconds ago, no response has been received or it wasn't yet handled!
Session, Digitalvertigo:        	Can't garbage collect updates.getChannelDifference with message ID 7191998311396540488 in DC 2 sent 4 seconds ago, no response has been received or it wasn't yet handled!
Session, Digitalvertigo:        	Can't garbage collect updates.getChannelDifference with message ID 7191998311396540500 in DC 2 sent 4 seconds ago, no response has been received or it wasn't yet handled!
Session, Digitalvertigo:        	Can't garbage collect updates.getChannelDifference with message ID 7191998311396540504 in DC 2 sent 4 seconds ago, no response has been received or it wasn't yet handled!
Session, Digitalvertigo:        	Can't garbage collect updates.getChannelDifference with message ID 7191998311396540508 in DC 2 sent 4 seconds ago, no response has been received or it wasn't yet handled!
Session, Digitalvertigo:        	Can't garbage collect updates.getChannelDifference with message ID 7191998311396540512 in DC 2 sent 4 seconds ago, no response has been received or it wasn't yet handled!
Session, Digitalvertigo:        	Can't garbage collect updates.getChannelDifference with message ID 7191998311396540516 in DC 2 sent 4 seconds ago, no response has been received or it wasn't yet handled!
Session, Digitalvertigo:        	Can't garbage collect updates.getChannelDifference with message ID 7191998311396540520 in DC 2 sent 4 seconds ago, no response has been received or it wasn't yet handled!
Session, Digitalvertigo:        	Can't garbage collect updates.getChannelDifference with message ID 7191998311396540524 in DC 2 sent 4 seconds ago, no response has been received or it wasn't yet handled!
Session, Digitalvertigo:        	Can't garbage collect updates.getChannelDifference with message ID 7191998311396540528 in DC 2 sent 4 seconds ago, no response has been received or it wasn't yet handled!
Session, Digitalvertigo:        	Can't garbage collect updates.getChannelDifference with message ID 7191998311396540532 in DC 2 sent 4 seconds ago, no response has been received or it wasn't yet handled!
Session, Digitalvertigo:        	Can't garbage collect updates.getChannelDifference with message ID 7191998311396540536 in DC 2 sent 4 seconds ago, no response has been received or it wasn't yet handled!
Session, Digitalvertigo:        	Can't garbage collect updates.getChannelDifference with message ID 7191998311396540540 in DC 2 sent 4 seconds ago, no response has been received or it wasn't yet handled!
Session, Digitalvertigo:        	Can't garbage collect updates.getChannelDifference with message ID 7191998311396540544 in DC 2 sent 4 seconds ago, no response has been received or it wasn't yet handled!
Session, Digitalvertigo:        	Can't garbage collect updates.getChannelDifference with message ID 7191998311396540548 in DC 2 sent 4 seconds ago, no response has been received or it wasn't yet handled!
Session, Digitalvertigo:        	Can't garbage collect updates.getChannelDifference with message ID 7191998311396540552 in DC 2 sent 4 seconds ago, no response has been received or it wasn't yet handled!
Session, Digitalvertigo:        	Can't garbage collect updates.getChannelDifference with message ID 7191998311396540556 in DC 2 sent 4 seconds ago, no response has been received or it wasn't yet handled!
Session, Digitalvertigo:        	Can't garbage collect updates.getChannelDifference with message ID 7191998311396540560 in DC 2 sent 4 seconds ago, no response has been received or it wasn't yet handled!
Session, Digitalvertigo:        	Can't garbage collect updates.getChannelDifference with message ID 7191998311396540564 in DC 2 sent 4 seconds ago, no response has been received or it wasn't yet handled!
Session, Digitalvertigo:        	Can't garbage collect updates.getChannelDifference with message ID 7191998315691507712 in DC 2 sent 3 seconds ago, no response has been received or it wasn't yet handled!
Session, Digitalvertigo:        	Can't garbage collect updates.getDifference with message ID 7191998315691507716 in DC 2 sent 3 seconds ago, no response has been received or it wasn't yet handled!
Session, Digitalvertigo:        	Can't garbage collect updates.getChannelDifference with message ID 7191998315691507720 in DC 2 sent 3 seconds ago, no response has been received or it wasn't yet handled!
Session, Digitalvertigo:        	Can't garbage collect updates.getChannelDifference with message ID 7191998315691507724 in DC 2 sent 3 seconds ago, no response has been received or it wasn't yet handled!
Session, Digitalvertigo:        	Can't garbage collect msgs_state_req with message ID 7191998315691507732 in DC 2 sent 3 seconds ago, no response has been received or it wasn't yet handled!
Session, Digitalvertigo:        	Can't garbage collect updates.getChannelDifference with message ID 7191998315691507736 in DC 2 sent 3 seconds ago, no response has been received or it wasn't yet handled!
Session, Digitalvertigo:        	Can't garbage collect updates.getChannelDifference with message ID 7191998315691507740 in DC 2 sent 3 seconds ago, no response has been received or it wasn't yet handled!
Session, Digitalvertigo:        	Can't garbage collect updates.getChannelDifference with message ID 7191998315691507744 in DC 2 sent 3 seconds ago, no response has been received or it wasn't yet handled!
